question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,framework,method,parameters,timestamp
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,SELECT 1,15.1603,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:55.004117
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"SELECT MAX(capacity) AS MaxCapacity, AVG(capacity) AS AvgCapacity FROM stadium",6.9981,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:02.002210
18,concert_singer,What is the average and maximum capacities for all stadiums ?,SELECT 1,4.5281,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:06.530293
19,concert_singer,What is the name and capacity for the stadium with highest average attendance ?,SELECT MAX(Capacity) AS MaxCapacity FROM stadium,6.2893,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:12.819583
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance ?,SELECT 1,11.3094,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:24.129974
21,concert_singer,How many concerts are there in year 2014 or 2015 ?,"SELECT COALESCE(COUNT( concert_ID ), 0 ) AS ConcertCount FROM concerts WHERE concert_YEAR > = 2014 AND concert_YEAR < = 2015",4.0535,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:28.183492
22,concert_singer,How many concerts occurred in 2014 or 2015 ?,SELECT COUNT(*),3.9531,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:32.136547
23,concert_singer,Show the stadium name and the number of concerts in each stadium .,JOIN (SELECT concert_ID FROM concert) AS cd ON c.stadium_ID = cd.stadium_ID,12.811,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:44.947547
24,concert_singer,"For each stadium , how many concerts play there ?","SELECT distinct Stadium_ID, COUNT(concert_ID) as ConcertCount FROM concert GROUP BY Stadium_ID",5.0788,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:50.026393
25,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after .,"SELECT s.StadiumName, s.Capacity FROM stadium s LEFT JOIN concert c ON cconcert_ID = s.stadium_ID LEFT JOIN singer_in_concert si ON siconcert_ID = siconcert_ID LEFT JOIN singer si ON si.name = si.singer_name WHERE c.year > = 2014 ORDER BY capacity DESC LIMIT (MAX(c.year) - 2013)",4.226,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:54.253652
26,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"SELECT concert_name, capacity, COUNT(*) AS total_concerts FROM Concert WHERE year > 2013 \",5.4197,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:16:59.673335
27,concert_singer,Which year has most number of concerts ?,SELECT year FROM concert GROUP BY year ORDER BY COUNT(year) DESC,3.824,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:17:03.497380
28,concert_singer,What is the year that had the most concerts ?,"SELECT year, CONCAT('Year:', year) AS YearlyConcertCounts",4.7923,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:17:08.289697
29,concert_singer,Show the stadium names without any concert .,SELECT 1,15.2116,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:17:23.502322
30,concert_singer,What are the names of the stadiums without any concerts ?,SELECT 1,15.19,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:17:38.693407
31,concert_singer,Show countries where a singer above age 40 and a singer below 30 are from .,SELECT 1,15.1538,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:17:53.847163
32,concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014 .,The SQL query selects the names of all stadiums that do not have any concerts in the year 2014.,4.5522,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:17:58.399363
33,concert_singer,What are the names of all stadiums that did not have a concert in 2014 ?,SELECT s.StadiumName,8.8348,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:07.234694
34,concert_singer,Show the name and theme for all concerts and the number of singers in each concert .,SELECT 1,7.1769,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:14.411587
35,concert_singer,"What are the names , themes , and number of singers for every concert ?","SELECT concert.Name, concert.Theme, COUNT(Singer_ID) AS SingerCount",3.1204,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:17.531967
36,concert_singer,List singer names and number of concerts for each singer .,"SELECT singer.Name, COUNT(concert_ID) AS ConcertCount FROM singer_in_concert LEFT JOIN singer ON singer.singer_ID = singer_in_concert.singer_ID",4.4781,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:22.010083
37,concert_singer,What are the names of the singers and number of concerts for each person ?,SELECT concert-concert_ID AS ConcertCount,4.1401,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:26.150176
38,concert_singer,List all singer names in concerts in year 2014 .,SELECT Name FROM singer_in_concert WHERE Song_release_year = 2014 LIMIT 0,4.1119,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:30.262055
39,concert_singer,What are the names of the singers who performed in a concert in 2014 ?,SELECT Name FROM singer_in_concert WHERE concert.Year = '2014',8.282,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:38.545092
40,concert_singer,what is the name and nation of the singer who have a song having 'Hey ' in its name ?,SELECT 1,15.4687,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:18:54.013757
41,concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?,SELECT 1,15.6974,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:09.711163
42,concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .,SELECT 1,15.4865,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:25.197641
43,concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?,"LEFT JOIN (SELECT concert FROM concert WHERE Year IN (2014, 2015)) cct2",7.9436,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:33.141288
44,concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,SELECT MAX(Capacity) FROM stadium,3.4364,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:36.577691
45,concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,SELECT MAX(Capacity) FROM stadium,3.7105,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:40.288197
46,pets_1,Find the number of pets whose weight is heavier than 10 .,SELECT COUNT(*) FROM pets WHERE weight > 10,3.7386,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:44.026772
47,pets_1,How many pets have a greater weight than 10 ?,SELECT COUNT(*) FROM pets WHERE pet_weight > 10,2.7556,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:46.782356
48,pets_1,Find the weight of the youngest dog .,SELECT w-weight FROM pets AS p WHERE p.PetID = (SELECT MIN(p PetID) FROM pets p),2.265,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:49.048506
49,pets_1,How much does the youngest dog weigh ?,SELECT MIN(pets-weight) AS YoungestDogWeight,4.5293,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:19:53.577773
50,pets_1,Find the maximum weight for each type of pet . List the maximum weight and pet type .,"SELECT StuID, PetID, PetType, weight",8.2936,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:01.871411
51,pets_1,List the maximum weight and type for each type of pet .,SELECT 1,6.4299,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:08.302334
52,pets_1,Find number of pets owned by students who are older than 20 .,SELECT COUNT(*) AS NumberOfPets,4.6684,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:12.970772
53,pets_1,How many pets are owned by students that have an age greater than 20 ?,SELECT 1,15.3557,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:28.327496
54,pets_1,Find the number of dog pets that are raised by female students ( with sex F ) .,SELECT COUNT(*) AS NumberOfDogPetsRaisedByFemales,6.4111,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:34.738598
55,pets_1,How many dog pets are raised by female students ?,CROSS JOIN (SELECT PetType FROM Pets) AS Pets,3.2616,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:38.000245
56,pets_1,Find the number of distinct type of pets .,SELECT COUNT(*) FROM pets WHERE column = 'PetType',3.6512,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:41.651472
57,pets_1,How many different types of pet are there ?,SELECT COUNT(DISTINCT PetType) FROM pets,3.8665,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:45.518463
58,pets_1,Find the first name of students who have cat or dog pet .,"SELECT LName FROM Student WHERE (SELECT PetType FROM Pet WHERE foreignkey = [PetID] AND PetType IN ('cat', 'dog') )",2.669,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:20:48.187470
59,pets_1,What are the first names of every student who has a cat or dog as a pet ?,SELECT 1,15.9629,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:04.150392
60,pets_1,Find the first name of students who have both cat and dog pets .,"WHERE (SELECT StuID FROM pets WHERE PetType IN ('cat', 'dog'))",3.4432,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:07.594581
61,pets_1,What are the students ' first names who have both cats and dogs as pets ?,SELECT LName,5.7255,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:13.320106
62,pets_1,Find the major and age of students who do not have a cat pet .,SELECT 1,3.2546,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:16.574662
63,pets_1,"What major is every student who does not own a cat as a pet , and also how old are they ?","SELECT p.StuID, p.PetID, p.PetType, p.pet_age FROM pets p JOIN Student s ON p.StuID = s.StuID WHERE p.PetType = 'cat'",2.5147,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:19.090387
64,pets_1,Find the id of students who do not have a cat pet .,SELECT STUID FROM (SELECT * FROM Student JOIN pets ON Student.PetID = pets.PetID) WHERE pets.PetType = 'cat',3.6053,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:22.695695
65,pets_1,What are the ids of the students who do not own cats as pets ?,SELECT 1,15.9057,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:38.602432
66,pets_1,Find the first name and age of students who have a dog but do not have a cat as a pet .,SELECT S.StuID AS StudentID,11.3095,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:49.911942
67,pets_1,What is the first name of every student who has a dog but does not have a cat ?,SELECT LName FROM Student WHERE (SELECT COUNT(*) FROM (SELECT PetID AS PetID FROM pets) WHERE (SELECT COUNT(*) FROM (SELECT PetID AS PetID FROM pets) AS CatPetCount) > 0 AND (SELECT COUNT(*) FROM (SELECT PetID AS PetID FROM pets) WHERE PetType = 'Dog') > 0) > = 1,4.154,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:54.065942
68,pets_1,Find the type and weight of the youngest pet .,SELECT stuID FROM students WHERE sex = 'youngest',4.7925,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:21:58.858489
69,pets_1,"What type of pet is the youngest animal , and how much does it weigh ?","SELECT PetType, pet_age FROM 'Pet' WHERE StuID = (SELECT MIN(Age) AS minAge FROM 'Student' WHERE StudentID IS NOT NULL)",2.9701,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:01.828615
70,pets_1,Find the id and weight of all pets whose age is older than 1 .,"SELECT id, weight FROM pets WHERE pet_age > 1",3.0449,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:04.873548
71,pets_1,What is the id and weight of every pet who is older than 1 ?,"SELECT StuID, weight FROM Student, pets WHERE s.StuID = p.StuID AND p.age > 1",3.8098,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:08.683311
72,pets_1,Find the average and maximum age for each type of pet .,Answer: The SQL query selects the pet type along with the average and maximum age of pets per type.,4.8254,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:13.508672
73,pets_1,What is the average and maximum age for each pet type ?,SELECT 1,16.1586,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:29.667283
74,pets_1,Find the average weight for each pet type .,"SELECT PetType, AVG(Weight) as AverageWeight from pets",4.4764,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:34.143647
75,pets_1,What is the average weight for each type of pet ?,"SELECT PetType, AVG(pet_age) AS Average_PetWeight FROM pets GROUP BY PetType",4.3573,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:38.501983
76,pets_1,Find the first name and age of students who have a pet .,Answer: The query selects the first name (LName) and age from the Student table where each student has a corresponding Pet ID in the Pets table.,4.4743,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:42.976298
77,pets_1,What are the different first names and ages of the students who do have pets ?,"SELECT LName, Age FROM Student WHERE EXISTS('Has_Pet', PetID) AND (SELECT PetID FROM pets)",3.2058,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:22:46.182118
78,pets_1,Find the id of the pet owned by student whose last name is ‘Smith’ .,SELECT 1,16.1327,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:02.315831
79,pets_1,What is the id of the pet owned by the student whose last name is 'Smith ' ?,SELECT StuID FROM Students WHERE LName LIKE '%Smith%',3.271,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:05.587873
80,pets_1,Find the number of pets for each student who has any pet and student id .,SELECT 1,13.155,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:18.742848
81,pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .","SELECT StuID, COUNT(DISTINCT PetID) AS PetCount",5.5386,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:24.281493
82,pets_1,Find the first name and gender of student who have more than one pet .,Answer: The SQL query selects the first names (STAs) and genders (FTA) from the 'Student' table where each student has more than one pet.,3.532,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:27.813475
83,pets_1,What is the first name and gender of the all the students who have more than one pet ?,"SELECT LName, Fname",4.7784,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:32.591839
84,pets_1,Find the last name of the student who has a cat that is age 3 .,SELECT LName FROM Student WHERE (PetType = 'Cat' AND Age = 3 AND EXISTS(Select PETID From Pet Where PetType = 'Cat' And Age = 3) AND StuID In (SELECT StuID From Student WHERE PetID = PETID)),4.3859,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:36.977731
85,pets_1,What is the last name of the student who has a cat that is 3 years old ?,SELECT S.LName,7.9763,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:44.954045
86,pets_1,Find the average age of students who do not have any pet .,WHERE NOT EXISTS (SELECT PetID FROM Pet),3.6764,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:48.630441
87,pets_1,What is the average age for all students who do not own any pets ?,SELECT AVG(Age) AS avg_age FROM Student WHERE NOT EXISTS (SELECT PetID FROM pets WHERE PetID IN (SELECT StuID FROM Student)),7.0585,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:55.688964
88,employee_hire_evaluation,How many employees are there ?,SELECT COUNT(Employee_ID) FROM employee,2.26,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:23:57.948997
89,employee_hire_evaluation,Count the number of employees,SELECT COUNT(Employee_ID) FROM employee,3.2013,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:24:01.150287
90,employee_hire_evaluation,Sort employee names by their age in ascending order .,"SELECT Employee_ID, Name, Age FROM employee WHERE City = 'New York' ORDER BY Age ASC",3.2478,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:24:04.399077
91,employee_hire_evaluation,List the names of employees and sort in ascending order of age .,SELECT Name FROM employee ORDER BY Age ASC,3.7137,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:24:08.115315
92,employee_hire_evaluation,What is the number of employees from each city ?,"WITH CityCount AS (SELECT Employee_ID, City FROM employee GROUP BY Employee_ID HAVING COUNT(*) = 1), SELECT City, COUNT(Employee_ID) AS CountFromCity FROM CityCount",3.8872,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:24:12.002542
