question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
66;pets_1;Find the first name and age of students who have a dog but do not have a cat as a pet .;SELECT T1.Fname, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID LEFT JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog' AND T3.PetType != 'cat';30.537;gemma3:4b;2025-12-07T16:30:35.126328
67;pets_1;What is the first name of every student who has a dog but does not have a cat ?;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog' AND T3.PetType != 'cat';2.905;gemma3:4b;2025-12-07T16:30:38.032331
68;pets_1;Find the type and weight of the youngest pet .;SELECT T1.PetType, T1.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID ORDER BY T1.pet_age ASC LIMIT 1;24.822;gemma3:4b;2025-12-07T16:30:40.515618
69;pets_1;What type of pet is the youngest animal , and how much does it weigh ?;SELECT T1.PetType, T1.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID ORDER BY T1.pet_age ASC LIMIT 1;25.004;gemma3:4b;2025-12-07T16:30:43.017205
70;pets_1;Find the id and weight of all pets whose age is older than 1 .;SELECT T1.PetID, T1.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID WHERE T1.pet_age > 1;24.678;gemma3:4b;2025-12-07T16:30:45.485990
71;pets_1;What is the id and weight of every pet who is older than 1 ?;SELECT T1.PetID, T1.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID WHERE T1.pet_age > 1;2.48;gemma3:4b;2025-12-07T16:30:47.967551
72;pets_1;Find the average and maximum age for each type of pet .;SELECT AVG(weight), MAX(weight) FROM Pets GROUP BY PetType;19.425;gemma3:4b;2025-12-07T16:30:49.911134
73;pets_1;What is the average and maximum age for each pet type ?;SELECT AVG(weight), MAX(weight) FROM Pets GROUP BY PetType;1.935;gemma3:4b;2025-12-07T16:30:51.847688
74;pets_1;Find the average weight for each pet type .;SELECT pettype, AVG(weight) FROM pets GROUP BY pettype;19.398;gemma3:4b;2025-12-07T16:30:53.789112
75;pets_1;What is the average weight for each type of pet ?;SELECT pet_type, AVG(weight) FROM pets GROUP BY pet_type;19.835;gemma3:4b;2025-12-07T16:30:55.773962
76;pets_1;Find the first name and age of students who have a pet .;SELECT T1.Fname, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID;26.495;gemma3:4b;2025-12-07T16:30:58.425090
77;pets_1;What are the different first names and ages of the students who do have pets ?;SELECT DISTINCT Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet);21.221;gemma3:4b;2025-12-07T16:31:00.548224
78;pets_1;Find the id of the pet owned by student whose last name is ‘Smith’ .;SELECT T1.PetID FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID = T2.StuID WHERE T2.LName = 'Smith';23.837;gemma3:4b;2025-12-07T16:31:02.933494
79;pets_1;What is the id of the pet owned by the student whose last name is 'Smith ' ?;SELECT T1.PetID FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID = T2.StuID WHERE T2.LName = 'Smith ';23.742;gemma3:4b;2025-12-07T16:31:05.308790
80;pets_1;Find the number of pets for each student who has any pet and student id .;SELECT StuID, COUNT(*) FROM Has_Pet GROUP BY StuID;19.235;gemma3:4b;2025-12-07T16:31:07.233333
81;pets_1;For students who have pets , how many pets does each student have ? list their ids instead of names .;SELECT StuID, COUNT(*) FROM Has_Pet JOIN Pets ON Has_Pet.StuID = Pets.StuID GROUP BY StuID;22.203;gemma3:4b;2025-12-07T16:31:09.454638
82;pets_1;Find the first name and gender of student who have more than one pet .;SELECT T1.Fname, T1.Sex FROM student AS T1 JOIN has_pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.StuID HAVING COUNT(*) > 1;25.676;gemma3:4b;2025-12-07T16:31:12.023440
83;pets_1;What is the first name and gender of the all the students who have more than one pet ?;SELECT T1.Fname, T1.Sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid GROUP BY T1.stuid HAVING COUNT(*) > 1;25.965;gemma3:4b;2025-12-07T16:31:14.621109
84;pets_1;Find the last name of the student who has a cat that is age 3 .;SELECT T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.pet_age = 3;27.354;gemma3:4b;2025-12-07T16:31:17.358042
85;pets_1;What is the last name of the student who has a cat that is 3 years old ?;SELECT T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' AND T3.pet_age = 3;29.203;gemma3:4b;2025-12-07T16:31:20.279485
86;pets_1;Find the average age of students who do not have any pet .;SELECT AVG(age) FROM student WHERE student_id NOT IN (SELECT stu_id FROM has_pet);20.701;gemma3:4b;2025-12-07T16:31:22.351155
87;pets_1;What is the average age for all students who do not own any pets ?;SELECT AVG(age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet);20.738;gemma3:4b;2025-12-07T16:31:24.427144
88;employee_hire_evaluation;How many employees are there ?;SELECT COUNT(*) FROM employee;1.697;gemma3:4b;2025-12-07T16:31:26.128118
89;employee_hire_evaluation;Count the number of employees;SELECT COUNT(*) FROM employee;17.317;gemma3:4b;2025-12-07T16:31:27.861451
90;employee_hire_evaluation;Sort employee names by their age in ascending order .;SELECT Name FROM employee ORDER BY Age ASC;17.899;gemma3:4b;2025-12-07T16:31:29.653001
91;employee_hire_evaluation;List the names of employees and sort in ascending order of age .;SELECT Name FROM employee ORDER BY Age ASC;17.942;gemma3:4b;2025-12-07T16:31:31.449035
92;employee_hire_evaluation;What is the number of employees from each city ?;SELECT City, COUNT(*) FROM employee GROUP BY City;18.255;gemma3:4b;2025-12-07T16:31:33.276117
93;employee_hire_evaluation;Count the number of employees for each city .;SELECT City, COUNT(*) FROM employee GROUP BY City;18.133;gemma3:4b;2025-12-07T16:31:35.090948
94;employee_hire_evaluation;Which cities do more than one employee under age 30 come from ?;SELECT DISTINCT City FROM employee WHERE Age < 30 INTERSECT SELECT City FROM employee WHERE Age < 30;2.093;gemma3:4b;2025-12-07T16:31:37.185765
95;employee_hire_evaluation;Find the cities that have more than one employee under age 30 .;SELECT DISTINCT City FROM employee WHERE Age > 29 INTERSECT SELECT City FROM employee WHERE Age < 30;21.546;gemma3:4b;2025-12-07T16:31:39.341968
96;employee_hire_evaluation;Find the number of shops in each location .;SELECT Location, COUNT(*) FROM shop GROUP BY Location;18.437;gemma3:4b;2025-12-07T16:31:41.189307
97;employee_hire_evaluation;How many shops are there in each location ?;SELECT Location, COUNT(*) FROM shop GROUP BY Location;18.314;gemma3:4b;2025-12-07T16:31:43.022300
98;employee_hire_evaluation;Find the manager name and district of the shop whose number of products is the largest .;SELECT T2.Name, T2.District FROM shop AS T1 JOIN shop AS T2 ON T1.Shop_ID = T2.Shop_ID ORDER BY T1.Number_products DESC LIMIT 1;2.566;gemma3:4b;2025-12-07T16:31:45.589429
99;employee_hire_evaluation;What are the manager name and district of the shop that sells the largest number of products ?;SELECT T2.Name, T2.District FROM shop AS T1 JOIN shop AS T2 ON T1.Shop_ID = T2.Shop_ID ORDER BY T1.Number_products DESC LIMIT 1;25.351;gemma3:4b;2025-12-07T16:31:48.125584
100;employee_hire_evaluation;find the minimum and maximum number of products of all stores .;SELECT MIN(Number_products), MAX(Number_products) FROM shop;19.094;gemma3:4b;2025-12-07T16:31:50.036539
101;employee_hire_evaluation;What are the minimum and maximum number of products across all the shops ?;SELECT MIN(Number_products), MAX(Number_products) FROM shop;19.526;gemma3:4b;2025-12-07T16:31:51.990371
102;employee_hire_evaluation;Return the name , location and district of all shops in descending order of number of products .;SELECT Name, Location, District FROM shop ORDER BY Number_products DESC;19.378;gemma3:4b;2025-12-07T16:31:53.929861
103;employee_hire_evaluation;Sort all the shops by number products in descending order , and return the name , location and district of each shop .;SELECT Name, Location, District FROM shop ORDER BY Number_products DESC;19.845;gemma3:4b;2025-12-07T16:31:55.915454
104;employee_hire_evaluation;Find the names of stores whose number products is more than the average number of products .;SELECT T1.Name FROM shop AS T1 WHERE T1.Number_products > (SELECT AVG(Number_products) FROM shop);22.833;gemma3:4b;2025-12-07T16:31:58.199886
105;employee_hire_evaluation;Which shops ' number products is above the average ? Give me the shop names .;SELECT Name FROM shop WHERE Number_products > (SELECT AVG(Number_products) FROM shop);20.413;gemma3:4b;2025-12-07T16:32:00.242870
106;employee_hire_evaluation;find the name of employee who was awarded the most times in the evaluation .;SELECT T1.Name FROM employee AS T1 JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID GROUP BY T1.Employee_ID ORDER BY COUNT(*) DESC LIMIT 1;25.806;gemma3:4b;2025-12-07T16:32:02.825200
107;employee_hire_evaluation;Which employee received the most awards in evaluations ? Give me the employee name .;SELECT T1.Name FROM employee AS T1 JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID GROUP BY T1.Employee_ID ORDER BY COUNT(*) DESC LIMIT 1;25.974;gemma3:4b;2025-12-07T16:32:05.424332
108;employee_hire_evaluation;Find the name of the employee who got the highest one time bonus .;SELECT T1.Name FROM employee AS T1 JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID ORDER BY T2.Bonus DESC LIMIT 1;2.422;gemma3:4b;2025-12-07T16:32:07.847927
109;employee_hire_evaluation;Which employee received the biggest bonus ? Give me the employee name .;SELECT T1.Name FROM employee AS T1 JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID ORDER BY T2.Bonus DESC LIMIT 1;24.154;gemma3:4b;2025-12-07T16:32:10.264352
110;employee_hire_evaluation;Find the names of employees who never won any award in the evaluation .;SELECT T1.Name FROM employee AS T1 LEFT JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T2.Employee_ID IS NULL;24.169;gemma3:4b;2025-12-07T16:32:12.682859
111;employee_hire_evaluation;What are the names of the employees who never received any evaluation ?;SELECT T1.Name FROM employee AS T1 LEFT JOIN evaluation AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T2.Employee_ID IS NULL;24.818;gemma3:4b;2025-12-07T16:32:15.166364
112;employee_hire_evaluation;What is the name of the shop that is hiring the largest number of employees ?;SELECT T1.Name FROM shop AS T1 JOIN hiring AS T2 ON T1.Shop_ID = T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY COUNT(*) DESC LIMIT 1;25.555;gemma3:4b;2025-12-07T16:32:17.723668
113;employee_hire_evaluation;Which shop has the most employees ? Give me the shop name .;SELECT T1.Name FROM shop AS T1 JOIN hiring AS T2 ON T1.Shop_ID = T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY COUNT(*) DESC LIMIT 1;2.535;gemma3:4b;2025-12-07T16:32:20.260457
114;employee_hire_evaluation;Find the name of the shops that do not hire any employee .;SELECT Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM hiring);20.488;gemma3:4b;2025-12-07T16:32:22.311375
115;employee_hire_evaluation;Which shops run with no employees ? Find the shop names;SELECT Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM hiring);20.169;gemma3:4b;2025-12-07T16:32:24.330463
116;employee_hire_evaluation;Find the number of employees hired in each shop ;;;;
117;employee_hire_evaluation;For each shop , return the number of employees working there and the name of the shop .;SELECT T1.Name, COUNT(T1.Employee_ID) FROM hiring AS T1 JOIN shop AS T2 ON T1.Shop_ID = T2.Shop_ID GROUP BY T2.Shop_ID;26.207;gemma3:4b;2025-12-07T16:32:29.419235
118;employee_hire_evaluation;What is total bonus given in all evaluations ?;SELECT SUM(Bonus) FROM evaluation;17.477;gemma3:4b;2025-12-07T16:32:31.168691
