question_id,db_id,question,predicted_sql,latency_seconds,model,timestamp
11,concert_singer,Show all countries and the number of singers in each country .,"SELECT T1.Country, COUNT(DISTINCT T3.Singer_ID) FROM stadium AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID GROUP BY T1.Country",1.5226,granite3.3:2b,2025-12-06T15:18:40.905325
12,concert_singer,How many singers are from each country ?,"SELECT T1.country, COUNT(DISTINCT T1.Singer_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.country",1.0447,granite3.3:2b,2025-12-06T15:18:41.951030
13,concert_singer,List all song names by singers above the average age .,SELECT Song_Name FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID WHERE singer.Age > (SELECT AVG(age) FROM stadium) AND concert_ID IS NOT NULL,1.2392,granite3.3:2b,2025-12-06T15:18:43.192231
14,concert_singer,What are all the song names by singers who are older than average ?,SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer),0.4825,granite3.3:2b,2025-12-06T15:18:43.675796
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",0.6819,granite3.3:2b,2025-12-06T15:18:44.358742
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"SELECT T2.Location, T2.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Capacity BETWEEN 5000 AND 10000",1.1713,granite3.3:2b,2025-12-06T15:18:45.531085
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"SELECT MAX(stadium.Capacity), AVG(stadium.Average) FROM stadium INTERSECT SELECT MAX(concert.Capacity), AVG(concert.Average) FROM concert",0.9366,granite3.3:2b,2025-12-06T15:18:46.469215
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"SELECT AVG(T1.Capacity), MAX(T1.Capacity) FROM stadium AS T1",0.6957,granite3.3:2b,2025-12-06T15:18:47.164931
19,concert_singer,What is the name and capacity for the stadium with highest average attendance ?,"SELECT T2.name, T2.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Highest = (SELECT MAX(Highest) FROM stadium) ORDER BY T2.average DESC LIMIT 1",1.1464,granite3.3:2b,2025-12-06T15:18:48.311373
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance ?,"SELECT T2.name, T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Highest = (SELECT MAX(Highest) FROM stadium) ORDER BY T1.Average DESC LIMIT 1",1.1482,granite3.3:2b,2025-12-06T15:18:49.459910
21,concert_singer,How many concerts are there in year 2014 or 2015 ?,SELECT COUNT(*) FROM concert WHERE YEAR = '2014' OR YEAR = '2015',0.6749,granite3.3:2b,2025-12-06T15:18:50.135797
22,concert_singer,How many concerts occurred in 2014 or 2015 ?,"SELECT COUNT(*) FROM concert WHERE YEAR IN ('2014', '2015')",0.492,granite3.3:2b,2025-12-06T15:18:50.629841
23,concert_singer,Show the stadium name and the number of concerts in each stadium .,"SELECT T2.name, COUNT(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T2.stadium_ID",1.0744,granite3.3:2b,2025-12-06T15:18:51.706266
24,concert_singer,"For each stadium , how many concerts play there ?","SELECT T1.Name, COUNT(T3.concert_ID) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Name",1.0935,granite3.3:2b,2025-12-06T15:18:52.801317
25,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after .,"SELECT T1.name, T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE YEAR(T2.year) > = '2014' GROUP BY T1.stadium_id ORDER BY COUNT(*) DESC LIMIT 1",1.4084,granite3.3:2b,2025-12-06T15:18:54.211709
26,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"SELECT T2.name, T2.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year > 2013 GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1",1.3279,granite3.3:2b,2025-12-06T15:18:55.539602
27,concert_singer,Which year has most number of concerts ?,"SELECT YEAR(concert_Name) AS concert_year, COUNT(*) AS num_concerts FROM concert GROUP BY concert_year ORDER BY num_concerts DESC LIMIT 1",0.9355,granite3.3:2b,2025-12-06T15:18:56.476060
28,concert_singer,What is the year that had the most concerts ?,SELECT Year FROM concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1,0.5554,granite3.3:2b,2025-12-06T15:18:57.034466
29,concert_singer,Show the stadium names without any concert .,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT T1.stadium_id FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id = T2.concert_id),1.1427,granite3.3:2b,2025-12-06T15:18:58.178150
30,concert_singer,What are the names of the stadiums without any concerts ?,SELECT T1.name FROM stadium AS T1 LEFT JOIN concert ON T1.stadium_id = T2.stadium_id WHERE T2.concert_ID IS NULL,0.7935,granite3.3:2b,2025-12-06T15:18:58.974191
31,concert_singer,Show countries where a singer above age 40 and a singer below 30 are from .,SELECT DISTINCT country FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id JOIN singer ON singer_in_concert.singer_id = singer.singer_id WHERE singer.age > 40 INTERSECT SELECT DISTINCT country FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id JOIN singer ON singer_in_concert.singer_id = singer.singer_id WHERE singer.age < 30,3.0219,granite3.3:2b,2025-12-06T15:19:01.997057
32,concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014 .,SELECT T1.name FROM stadium AS T1 EXCEPT SELECT T3.name FROM concert AS T2 JOIN singer_in_concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE YEAR(T2.Year) = '2014',1.3191,granite3.3:2b,2025-12-06T15:19:03.318194
33,concert_singer,What are the names of all stadiums that did not have a concert in 2014 ?,SELECT T1.name FROM stadium T1 EXCEPT SELECT T3.name FROM concert AS T2 JOIN singer_in_concert AS T3 ON T2.concert_id = T3.concert_id WHERE YEAR(T2.year) = '2014',1.2879,granite3.3:2b,2025-12-06T15:19:04.606058
34,concert_singer,Show the name and theme for all concerts and the number of singers in each concert .,"SELECT c.concert_Name, T1.Theme FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_ID",1.1511,granite3.3:2b,2025-12-06T15:19:05.758133
35,concert_singer,"What are the names , themes , and number of singers for every concert ?","SELECT T1.Name, T3.Theme, COUNT(T2.concert_ID) FROM singer_in_concert AS T2 JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID JOIN singer AS T1 ON T2.Singer_ID = T1.Singer_ID GROUP BY T3.concert_ID, T1.Name",1.5472,granite3.3:2b,2025-12-06T15:19:07.306426
36,concert_singer,List singer names and number of concerts for each singer .,"SELECT T1.name, COUNT(T3.concert_ID) FROM singer_in_concert AS T3 JOIN singer AS T1 ON T3.Singer_ID = T1.Singer_ID JOIN concert AS T2 ON T3.concert_ID = T2.concert_ID GROUP BY T1.name",1.3499,granite3.3:2b,2025-12-06T15:19:08.658837
37,concert_singer,What are the names of the singers and number of concerts for each person ?,"SELECT s.Name, COUNT(c.concert_ID) FROM singer s",0.9539,granite3.3:2b,2025-12-06T15:19:09.613779
38,concert_singer,List all singer names in concerts in year 2014 .,SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE YEAR(T2.Song_release_year) = 2014,1.1707,granite3.3:2b,2025-12-06T15:19:10.785500
39,concert_singer,What are the names of the singers who performed in a concert in 2014 ?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id WHERE YEAR(T1.concert_ID) = '2014',1.1736,granite3.3:2b,2025-12-06T15:19:11.960095
40,concert_singer,what is the name and nation of the singer who have a song having 'Hey ' in its name ?,"SELECT T1.Name, T2.Country FROM stadium AS T1 JOIN singer AS T2 ON T1.Stadium_ID = T2.Singer_ID WHERE Song_Name LIKE '%Hey%'",1.026,granite3.3:2b,2025-12-06T15:19:12.988094
41,concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?,"SELECT T1.name, T2.country FROM singer AS T1 JOIN has_pet AS T2 ON T1.singer_id = T2.stuid WHERE song_name LIKE '%Hey%'",1.0424,granite3.3:2b,2025-12-06T15:19:14.032040
42,concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .,"SELECT T1.name, T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year IN ('2014', '2015') GROUP BY T1.stadium_id HAVING COUNT(DISTINCT T2.concert_Name) > 0",1.5926,granite3.3:2b,2025-12-06T15:19:15.625639
43,concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?,"SELECT T1.name, T1.location FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE YEAR(T2.year) IN ('2014', '2015') GROUP BY T1.name, T1.location HAVING COUNT(DISTINCT T2.concert_ID) > 1",1.5614,granite3.3:2b,2025-12-06T15:19:17.189844
44,concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,SELECT COUNT(*) FROM concert c JOIN stadium s ON c.stadium_id = s.Stadium_ID WHERE s.Capacity = (SELECT MAX(Capacity) FROM stadium),0.9367,granite3.3:2b,2025-12-06T15:19:18.128568
45,concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,SELECT COUNT(*) FROM concert c JOIN singer_in_concert sic ON c.concert_ID = sic.concert_ID JOIN stadium st ON c.stadium_ID = st.Stadium_ID WHERE st.Capacity = (SELECT MAX(Capacity) FROM stadium),1.1496,granite3.3:2b,2025-12-06T15:19:19.279186
46,pets_1,Find the number of pets whose weight is heavier than 10 .,SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.pet_age > 10 AND weight > 10,0.9629,granite3.3:2b,2025-12-06T15:19:20.244460
47,pets_1,How many pets have a greater weight than 10 ?,SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.pet_age > 10,0.7921,granite3.3:2b,2025-12-06T15:19:21.038794
48,pets_1,Find the weight of the youngest dog .,SELECT T1.weight FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog' AND T1.Age = (SELECT MIN(Age) FROM Student),1.3894,granite3.3:2b,2025-12-06T15:19:22.429568
49,pets_1,How much does the youngest dog weigh ?,SELECT T1.weight FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetType = 'dog' AND T2.pet_age = (SELECT MIN(pet_age) FROM Pets),1.101,granite3.3:2b,2025-12-06T15:19:23.532092
50,pets_1,Find the maximum weight for each type of pet . List the maximum weight and pet type .,"SELECT MAX(pettype, weight) AS max_weight_pettype FROM student JOIN has_pet ON student.StuID = has_pet.StuID JOIN pets ON has_pet.PetID = pets.PetID GROUP BY pettype",1.1465,granite3.3:2b,2025-12-06T15:19:24.679598
51,pets_1,List the maximum weight and type for each type of pet .,"SELECT p.PetType, MAX(p.weight) FROM Pets AS p GROUP BY p.PetType",0.5497,granite3.3:2b,2025-12-06T15:19:25.230352
52,pets_1,Find number of pets owned by students who are older than 20 .,SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Age > 20,0.8811,granite3.3:2b,2025-12-06T15:19:26.112477
53,pets_1,How many pets are owned by students that have an age greater than 20 ?,SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Age > 20,0.7591,granite3.3:2b,2025-12-06T15:19:26.877126
54,pets_1,Find the number of dog pets that are raised by female students ( with sex F ) .,SELECT COUNT(T1.PetID) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Sex = 'F' AND T2.PetType = 'Dog',1.0045,granite3.3:2b,2025-12-06T15:19:27.882723
55,pets_1,How many dog pets are raised by female students ?,SELECT COUNT(*) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Sex = 'F' AND T2.PetType = 'dog',0.8967,granite3.3:2b,2025-12-06T15:19:28.781466
56,pets_1,Find the number of distinct type of pets .,SELECT COUNT(DISTINCT PetType) FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID,0.8359,granite3.3:2b,2025-12-06T15:19:29.618388
57,pets_1,How many different types of pet are there ?,SELECT COUNT(DISTINCT PetType) FROM Student JOIN Has_Pet ON Student.StuID = Has_Pet.StuID JOIN Pets ON Has_Pet.PetID = Pets.PetID,0.8369,granite3.3:2b,2025-12-06T15:19:30.455284
58,pets_1,Find the first name of students who have cat or dog pet .,"SELECT T1.fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetType IN ('cat', 'dog')",0.9473,granite3.3:2b,2025-12-06T15:19:31.403577
59,pets_1,What are the first names of every student who has a cat or dog as a pet ?,"SELECT T1.fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetType IN ('cat', 'dog')",0.9539,granite3.3:2b,2025-12-06T15:19:32.358546
60,pets_1,Find the first name of students who have both cat and dog pets .,SELECT T1.fname FROM Student AS T1 INTERSECT SELECT T2.Fname FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.StuID = T2.PetID WHERE T2.PetType = 'cat' INTERSECT SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T3 ON T1.StuID = T3.StuID WHERE T3.PetID = (SELECT PetID FROM Pets WHERE PetType = 'dog'),1.9471,granite3.3:2b,2025-12-06T15:19:34.308147
61,pets_1,What are the students ' first names who have both cats and dogs as pets ?,SELECT T1.fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetType = 'cat' INTERSECT SELECT T1.fname FROM Student AS T1 JOIN Has_Pet AS T3 ON T1.StuID = T3.StuID WHERE T3.PetType = 'dog',1.46,granite3.3:2b,2025-12-06T15:19:35.770564
62,pets_1,Find the major and age of students who do not have a cat pet .,"SELECT StuID, LName, Fname, Age, Major FROM Student T1 LEFT JOIN Has_Pet T2 ON T1.StuID = T2.StuID WHERE T2.PetID IS NULL AND PetType != 'Cat'",1.1522,granite3.3:2b,2025-12-06T15:19:36.924729
63,pets_1,"What major is every student who does not own a cat as a pet , and also how old are they ?","SELECT S.LName, S.Fname, S.Major, P.pet_age, P.weight FROM Student AS S WHERE S.Sex != 'Cat' AND P.PetType != 'Cat'",1.6232,granite3.3:2b,2025-12-06T15:19:38.551021
64,pets_1,Find the id of students who do not have a cat pet .,SELECT StuID FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetType = 'cat'),0.6946,granite3.3:2b,2025-12-06T15:19:39.247694
65,pets_1,What are the ids of the students who do not own cats as pets ?,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Has_Pet WHERE PetType = 'cat',0.4979,granite3.3:2b,2025-12-06T15:19:39.746757
66,pets_1,Find the first name and age of students who have a dog but do not have a cat as a pet .,"SELECT T1.fname, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetType = 'dog' AND T2.PetID NOT IN (SELECT PetID FROM Pets WHERE PetType = 'cat')",1.2259,granite3.3:2b,2025-12-06T15:19:40.973682
67,pets_1,What is the first name of every student who has a dog but does not have a cat ?,SELECT T1.fname FROM Student AS T1 WHERE T2.PetType = 'dog' AND T2.PetType != 'cat',1.0949,granite3.3:2b,2025-12-06T15:19:42.068603
68,pets_1,Find the type and weight of the youngest pet .,"SELECT PetType, weight FROM pets WHERE pet_age = (SELECT MIN(pet_age) FROM pets)",0.65,granite3.3:2b,2025-12-06T15:19:42.720582
69,pets_1,"What type of pet is the youngest animal , and how much does it weigh ?","SELECT T1.PetType, MAX(T2.weight) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.pet_age = (SELECT pet_age FROM Pets GROUP BY PetType ORDER BY MAX(pet_age) LIMIT 1) GROUP BY T1.PetType",1.651,granite3.3:2b,2025-12-06T15:19:44.373609
70,pets_1,Find the id and weight of all pets whose age is older than 1 .,"SELECT T1.StuID, T3.weight FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.pet_age > 1",1.1962,granite3.3:2b,2025-12-06T15:19:45.572818
71,pets_1,What is the id and weight of every pet who is older than 1 ?,"SELECT T1.StuID, T3.weight FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.pet_age > 1",1.2784,granite3.3:2b,2025-12-06T15:19:46.852263
72,pets_1,Find the average and maximum age for each type of pet .,"SELECT p.PetType, AVG(s.Age) AS AverageAge, MAX(s.Age) AS MaxAge FROM Student s",1.3821,granite3.3:2b,2025-12-06T15:19:48.235343
73,pets_1,What is the average and maximum age for each pet type ?,"SELECT p.PetType, AVG(s.Age) AS AverageAge, MAX(s.Age) AS MaxAge FROM Student s",1.2394,granite3.3:2b,2025-12-06T15:19:49.475721
74,pets_1,Find the average weight for each pet type .,"SELECT T1.PetType, AVG(T2.weight) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.PetType",0.987,granite3.3:2b,2025-12-06T15:19:50.463833
75,pets_1,What is the average weight for each type of pet ?,"SELECT T1.PetType, AVG(T2.weight) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.PetType",0.8969,granite3.3:2b,2025-12-06T15:19:51.360720
76,pets_1,Find the first name and age of students who have a pet .,"SELECT T1.fname, T1.age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID",0.8284,granite3.3:2b,2025-12-06T15:19:52.191210
77,pets_1,What are the different first names and ages of the students who do have pets ?,"SELECT LName, Fname, Age FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet)",0.5702,granite3.3:2b,2025-12-06T15:19:52.762421
78,pets_1,Find the id of the pet owned by student whose last name is ‘Smith’ .,SELECT T1.StuID FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE LName = 'Smith',0.7953,granite3.3:2b,2025-12-06T15:19:53.558736
79,pets_1,What is the id of the pet owned by the student whose last name is 'Smith ' ?,SELECT T1.StuID FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE LName = 'Smith',0.7861,granite3.3:2b,2025-12-06T15:19:54.345865
80,pets_1,Find the number of pets for each student who has any pet and student id .,"SELECT T1.StuID, COUNT(T2.PetID) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.StuID HAVING COUNT(T2.PetID) > 0",1.2585,granite3.3:2b,2025-12-06T15:19:55.606400
81,pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .","SELECT T1.StuID, COUNT(T2.PetID) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.StuID",0.9525,granite3.3:2b,2025-12-06T15:19:56.560408
82,pets_1,Find the first name and gender of student who have more than one pet .,"SELECT T1.fname, T1.sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.StuID HAVING COUNT(DISTINCT T2.StuID) > 1",1.1952,granite3.3:2b,2025-12-06T15:19:57.756618
83,pets_1,What is the first name and gender of the all the students who have more than one pet ?,"SELECT T1.fname, T1.sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.StuID HAVING COUNT(T2.StuID) > 1",1.0815,granite3.3:2b,2025-12-06T15:19:58.840611
84,pets_1,Find the last name of the student who has a cat that is age 3 .,SELECT LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' AND T3.pet_age = 3,1.299,granite3.3:2b,2025-12-06T15:20:00.140649
85,pets_1,What is the last name of the student who has a cat that is 3 years old ?,SELECT LName FROM Student WHERE PetType = 'cat' AND pet_age = 3,1.0759,granite3.3:2b,2025-12-06T15:20:01.218583
86,pets_1,Find the average age of students who do not have any pet .,SELECT AVG(StuID.Age) FROM Student STUID LEFT JOIN Has_Pet HP ON STUID.StuID = HP.StuID WHERE HP.StuID IS NULL,0.9294,granite3.3:2b,2025-12-06T15:20:02.147988
87,pets_1,What is the average age for all students who do not own any pets ?,SELECT AVG(StuID.Age) FROM Student LEFT JOIN Has_Pet ON StuID.StuID = Has_Pet.StuID WHERE Has_Pet.StuID IS NULL,0.9345,granite3.3:2b,2025-12-06T15:20:03.083570
88,employee_hire_evaluation,How many employees are there ?,SELECT COUNT(Employee_ID) FROM employee,0.4033,granite3.3:2b,2025-12-06T15:20:03.487858
89,employee_hire_evaluation,Count the number of employees,SELECT COUNT(Employee_ID) FROM employee,0.2989,granite3.3:2b,2025-12-06T15:20:03.787955
90,employee_hire_evaluation,Sort employee names by their age in ascending order .,SELECT Name FROM employee ORDER BY Age ASC,0.3996,granite3.3:2b,2025-12-06T15:20:04.188842
91,employee_hire_evaluation,List the names of employees and sort in ascending order of age .,"SELECT Name, Age FROM employee ORDER BY Age ASC",0.3268,granite3.3:2b,2025-12-06T15:20:04.518108
92,employee_hire_evaluation,What is the number of employees from each city ?,"SELECT T1.City, COUNT(T1.Employee_ID) FROM employee AS T1 JOIN shop AS T2 ON T1.Employee_ID = T2.Manager_name GROUP BY T1.City",0.9598,granite3.3:2b,2025-12-06T15:20:05.477920
93,employee_hire_evaluation,Count the number of employees for each city .,"SELECT T1.City, COUNT(DISTINCT T1.Employee_ID) FROM employee AS T1 JOIN hiring ON T1.Employee_ID = T2.Employee_ID GROUP BY T1.City",0.9768,granite3.3:2b,2025-12-06T15:20:06.456407
94,employee_hire_evaluation,Which cities do more than one employee under age 30 come from ?,SELECT T1.City FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T1.Age < 30 GROUP BY T1.City HAVING COUNT(DISTINCT T1.Employee_ID) > 1,1.2187,granite3.3:2b,2025-12-06T15:20:07.676756
95,employee_hire_evaluation,Find the cities that have more than one employee under age 30 .,SELECT T1.City FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Employee_ID WHERE T1.Age < 30 GROUP BY T1.City HAVING COUNT(DISTINCT T2.Manager_name) > 1,1.1104,granite3.3:2b,2025-12-06T15:20:08.789137
96,employee_hire_evaluation,Find the number of shops in each location .,"SELECT T1.Location, COUNT(DISTINCT T1.Shop_ID) FROM shop AS T1 GROUP BY T1.Location",0.7138,granite3.3:2b,2025-12-06T15:20:09.504353
97,employee_hire_evaluation,How many shops are there in each location ?,"SELECT T1.Location, COUNT(DISTINCT T1.Shop_ID) FROM shop AS T1 GROUP BY T1.Location",0.6078,granite3.3:2b,2025-12-06T15:20:10.114198
98,employee_hire_evaluation,Find the manager name and district of the shop whose number of products is the largest .,"SELECT T1.Manager_name, T3.District FROM employee AS T1 JOIN hiring AS T2 ON T1.Employee_ID = T2.Shop_ID JOIN shop AS T3 ON T2.Shop_ID = T3.Shop_ID WHERE T3.Number_products = (SELECT MAX(Number_products) FROM shop)",1.4341,granite3.3:2b,2025-12-06T15:20:11.549263
99,employee_hire_evaluation,What are the manager name and district of the shop that sells the largest number of products ?,"SELECT T1.Manager_name, T3.District FROM shop AS T1 JOIN hiring AS T2 ON T1.Shop_ID = T2.Shop_ID JOIN employee AS T3 ON T2.Manager_name = T3.Name GROUP BY T1.Shop_ID ORDER BY COUNT(T1.Number_products) DESC LIMIT 1",1.3538,granite3.3:2b,2025-12-06T15:20:12.905091
100,employee_hire_evaluation,find the minimum and maximum number of products of all stores .,"SELECT MIN(Number_products), MAX(Number_products) FROM shop",0.5442,granite3.3:2b,2025-12-06T15:20:13.451316
101,employee_hire_evaluation,What are the minimum and maximum number of products across all the shops ?,"SELECT MIN(Number_products), MAX(Number_products) FROM shop",0.5429,granite3.3:2b,2025-12-06T15:20:13.995255
102,employee_hire_evaluation,"Return the name , location and district of all shops in descending order of number of products .","SELECT T1.Name, T1.Location, T1.District FROM shop AS T1 ORDER BY T1.Number_products DESC",0.7199,granite3.3:2b,2025-12-06T15:20:14.716160
